"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
600,599.384094238281
628.569451673799,628.467712402344
658.499259295834,658.474548339844
689.854197238642,689.826904296875
722.702124155269,722.652709960937
757.114129839612,757.081665039062
793.164689079617,793.157409667969
830.931822836324,830.918518066406
870.497267097564,870.482299804687
911.94664977176,911.91357421875
955.369676004655,955.380432128906
1000.86032232003,1000.87335205078
1048.51704000461,1048.49743652344
1098.44296817722,1098.46997070312
1150.74615700349,1150.75732421875
1205.53980153903,1205.53845214844
1262.94248670721,1262.9453125
1323.07844394183,1323.10266113281
1386.0778200499,1386.09924316406
1452.07695887663,1452.0849609375
1521.21869638207,1521.22900390625
1593.65266976801,1593.65478515625
1669.53564132427,1669.52355957031
1749.0318376951,1749.04187011719
1832.31330530005,1832.30859375
1919.56028267843,1919.55822753906
2010.9615905633,2010.94506835937
2106.71504052908,2106.69604492187
2207.02786309718,2207.03051757812
2312.11715622632,2312.11596679687
2422.21035515793,2422.2041015625
2537.5457246337,2537.52685546875
2658.37287455033,2658.36547851562
2784.95330016767,2784.94702148437
2917.56094803921,2917.55883789062
3056.48280888982,3056.4833984375
3202.01953872378,3202.01611328125
3354.48610950733,3354.48510742187
3514.212490834,3514.2158203125
3681.5443640479,3681.54443359375
3856.84387037059,3856.84814453125
4040.49039465049,4040.498046875
4232.88138643118,4232.88916015625
4434.43322011546,4434.4423828125
4645.58209608676,4645.55908203125
4866.78498473812,4866.787109375
5098.52061545186,5098.52099609375
5341.29051267022,5341.296875
5595.62008129931,5595.62451171875
5862.05974379534,5862.0615234375
6141.18613139415,6141.18603515625
6433.60333206193,6433.60595703125
6739.94419786816,6739.9453125
7060.87171460998,7060.873046875
7397.08043665239,7397.07958984375
7749.29799008929,7749.30029296875
8118.28664747883,8118.28125
8504.84497756082,8504.841796875
8909.80957352678,8909.8115234375
9334.05686358281,9334.05078125
9778.50500772385,9778.4990234375
10244.1158848241,10244.1103515625
10731.8971743446,10731.892578125
11242.9045371623,11242.896484375
11778.2439002416,11778.2490234375
12339.0738500919,12339.0751953125
12926.6081401913,12926.521484375
13542.1183178035,13542.1181640625
14186.9364758724,14186.947265625
14862.4581359502,14862.451171875
15570.1452683984,15570.1484375
16311.5294563976,16311.4560546875
17088.2152106148,17088.28125
17901.8834417,17901.912109375
18754.2950981294,18754.298828125
19647.2949772663,19647.296875
20582.8157178895,20582.8046875
21562.8819828277,21562.87109375
22589.6148407548,22589.623046875
23665.2363566259,23665.224609375
24792.074400692,24792.05859375
25972.5676864983,25972.580078125
27209.2710487714,27209.28125
28504.8609726167,28504.865234375
29862.1413859926,29862.142578125
31284.049727998,31284.03515625
32773.663306106,32773.69140625
34334.2059561012,34334.21875
35969.0550191364,35969.0625
37681.7486510054,37681.7265625
39475.993479454,39475.97265625
41355.6726260981,41355.65234375
43324.8541103127,43324.859375
45387.7996532776,45387.8203125
47548.9739012349,47549.12890625
49813.0540879183,49813.09375
52184.9401570669,52184.9296875
54669.7653669292,54669.7734375
57272.9073997099,57272.94140625
59999.9999999998,59999.96484375

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
600,-28.6929506067813
628.569451673799,-28.3100229630495
658.499259295834,-27.8921210080698
689.854197238642,-27.4752488913014
722.702124155269,-27.0558707670767
757.114129839612,-26.6353811327352
793.164689079617,-26.2153517910557
830.931822836324,-25.7961679403202
870.497267097564,-25.3746315440027
911.94664977176,-24.9502059890204
955.369676004655,-24.5248010521823
1000.86032232003,-24.099197665441
1048.51704000461,-23.6698451636545
1098.44296817722,-23.2433634322741
1150.74615700349,-22.8072379879599
1205.53980153903,-22.3717531958285
1262.94248670721,-21.9345346200076
1323.07844394183,-21.492709719033
1386.0778200499,-21.0476969835225
1452.07695887663,-20.597299742724
1521.21869638207,-20.1446556014766
1593.65266976801,-19.6855305071437
1669.53564132427,-19.2215639028087
1749.0318376951,-18.7514628406181
1832.31330530005,-18.2747515609411
1919.56028267843,-17.7910973740488
2010.9615905633,-17.2985798567843
2106.71504052908,-16.7951440506942
2207.02786309718,-16.28292155278
2312.11715622632,-15.75844985866
2422.21035515793,-15.2202802694407
2537.5457246337,-14.6673932151346
2658.37287455033,-14.0975593068458
2784.95330016767,-13.5083554667958
2917.56094803921,-12.8985405326272
3056.48280888982,-12.2648947789871
3202.01953872378,-11.6043875106773
3354.48610950733,-10.9122885220386
3514.212490834,-10.1826274074785
3681.5443640479,-9.41312920035927
3856.84387037059,-8.59199849904277
4040.49039465049,-7.74310982375802
4232.88138643118,-6.81778301020099
4434.43322011546,-5.83032608012522
4645.58209608676,-4.78009946371196
4866.78498473812,-3.67657281783941
5098.52061545186,-2.53108265096718
5341.29051267022,-1.47471680837255
5595.62008129931,-0.58390288305249
5862.05974379534,-0.0653042228996482
6141.18613139415,-0.0727499911291092
6433.60333206193,-0.604348585477339
6739.94419786816,-1.50278333279235
7060.87171460998,-2.5790950344869
7397.08043665239,-3.70285478847589
7749.29799008929,-4.82414872949714
8118.28664747883,-5.85167679016623
8504.84497756082,-6.83634167707534
8909.80957352678,-7.75962910295553
9334.05686358281,-8.62591192471541
9778.50500772385,-9.43879255394783
10244.1158848241,-10.2059681694288
10731.8971743446,-10.9380082308486
11242.9045371623,-11.6110302803881
11778.2439002416,-12.2699522404786
