"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
600,591.278076171875
628.569451673799,629.425048828125
658.499259295834,667.572021484375
689.854197238642,686.6455078125
722.702124155269,724.79248046875
757.114129839612,762.939453125
793.164689079617,801.08642578125
830.931822836324,839.2333984375
870.497267097564,877.38037109375
911.94664977176,915.52734375
955.369676004655,953.67431640625
1000.86032232003,991.8212890625
1048.51704000461,1049.04174804687
1098.44296817722,1106.26220703125
1150.74615700349,1144.4091796875
1205.53980153903,1201.62963867187
1262.94248670721,1258.85009765625
1323.07844394183,1316.07055664063
1386.0778200499,1392.36450195312
1452.07695887663,1449.5849609375
1521.21869638207,1525.87890625
1593.65266976801,1602.1728515625
1669.53564132427,1678.466796875
1749.0318376951,1754.7607421875
1832.31330530005,1831.0546875
1919.56028267843,1926.42211914062
2010.9615905633,2002.71606445312
2106.71504052908,2098.08349609375
2207.02786309718,2212.5244140625
2312.11715622632,2307.89184570312
2422.21035515793,2422.33251953125
2537.5457246337,2536.77368164062
2658.37287455033,2651.21459960937
2784.95330016767,2784.72900390625
2917.56094803921,2918.24340820312
3056.48280888982,3051.7578125
3202.01953872378,3204.345703125
3354.48610950733,3356.93359375
3514.212490834,3509.521484375
3681.5443640479,3681.18286132812
3856.84387037059,3852.84423828125
4040.49039465049,4043.5791015625
4232.88138643118,4234.3134765625
4434.43322011546,4425.048828125
4645.58209608676,4653.9306640625
4866.78498473812,4863.7392578125
5098.52061545186,5092.62109375
5341.29051267022,5340.576171875
5595.62008129931,5588.53125
5862.05974379534,5855.560546875
6141.18613139415,6141.66259765625
6433.60333206193,6427.7646484375
6739.94419786816,6732.9404296875
7060.87171460998,7057.18994140625
7397.08043665239,7400.5126953125
7749.29799008929,7743.83544921875
8118.28664747883,8125.30517578125
8504.84497756082,8506.775390625
8909.80957352678,8907.318359375
9334.05686358281,9326.9345703125
9778.50500772385,9784.6982421875
10244.1158848241,10242.4619140625
10731.8971743446,10738.373046875
11242.9045371623,11234.283203125
11778.2439002416,11787.4140625
12339.0738500919,12340.5458984375
12926.6081401913,12931.82421875
13542.1183178035,13542.17578125
14186.9364758724,14190.673828125
14862.4581359502,14858.24609375
15570.1452683984,15563.96484375
16311.5294563976,16307.8310546875
17088.2152106148,17089.84375
17901.8834417,17910.00390625
18754.2950981294,18749.236328125
19647.2949772663,19645.69140625
20582.8157178895,20580.291015625
21562.8819828277,21572.11328125
22589.6148407548,22583.0078125
23665.2363566259,23670.197265625
24792.074400692,24795.53125
25972.5676864983,25978.087890625
27209.2710487714,27217.865234375
28504.8609726167,28495.7890625
29862.1413859926,29869.080078125
31284.049727998,31280.517578125
32773.663306106,32768.25
34334.2059561012,34332.2734375
35969.0550191364,35972.59375
37681.7486510054,37689.2109375
39475.993479454,39482.1171875
41355.6726260981,41351.3203125
43324.8541103127,43315.88671875
45387.7996532776,45394.8984375
47548.9739012349,47550.203125
49813.0540879183,49819.9453125
52184.9401570669,52185.05859375
54669.7653669292,54664.61328125
57272.9073997099,57277.6796875
59999.9999999998,60005.1875

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)"
600,-92.1643753051758
628.569451673799,-92.2440643310547
658.499259295834,-92.353759765625
689.854197238642,-92.4678955078125
722.702124155269,-92.5867309570313
757.114129839612,-92.711181640625
793.164689079617,-92.8678283691406
830.931822836324,-93.0063934326172
870.497267097564,-93.1533889770508
911.94664977176,-93.3079376220703
955.369676004655,-93.4704895019531
1000.86032232003,-93.6190795898437
1048.51704000461,-93.8004455566406
1098.44296817722,-94.0150985717773
1150.74615700349,-94.2173461914063
1205.53980153903,-94.4086608886719
1262.94248670721,-94.6354064941406
1323.07844394183,-94.8989715576172
1386.0778200499,-95.1540985107422
1452.07695887663,-95.4018249511719
1521.21869638207,-95.7137832641602
1593.65266976801,-95.9981079101563
1669.53564132427,-96.3263397216797
1749.0318376951,-96.7010803222656
1832.31330530005,-97.0776824951172
1919.56028267843,-97.4591369628906
2010.9615905633,-97.8954162597656
